"surface","key","english_source","current_translation","suggested_translation","placeholders","notes"
"web-app","admin.overview.funnel.dismiss3plus","Dismissed 3+ times","","","",""
"web-app","admin.overview.funnel.avoidSub","avg {n} dismissals per member · {snoozed} currently snoozed","","","{n}; {snoozed}",""
"web-app","admin.overview.funnel.suppressedTag","Hidden — sample too small","","","",""
"web-app","admin.overview.funnel.suppressedTitle","Not enough data yet","","","",""
"web-app","admin.overview.funnel.suppressedTime.one","Only 1 member completed onboarding in this window — showing an exact time here could point to a specific person, so it stays hidden until there's more data.","","","",""
"web-app","admin.overview.funnel.suppressedTime.other","Only {count} members completed onboarding in this window — showing an exact time here could point to a specific person, so it stays hidden until there's more data.","","","{count}",""
"web-app","admin.overview.funnel.suppressedAvoid.one","Only 1 member in this window is old enough to count — not enough to show dismissal patterns without pointing at someone specific.","","","",""
"web-app","admin.overview.funnel.suppressedAvoid.other","Only {count} members in this window are old enough to count — not enough to show dismissal patterns without pointing at someone specific.","","","{count}",""
"web-app","admin.overview.funnel.error","Couldn't load the onboarding funnel.","","","",""
"web-app","admin.activity.venueApproved","{name} approved — live on the map","","","{name}",""
"web-app","admin.activity.venueRejected","{name} rejected","","","{name}",""
"web-app","admin.activity.venueModerated","{name} moderated","","","{name}",""
"web-app","admin.activity.venueSubmitted","New venue submitted: {name}","","","{name}",""
"web-app","admin.activity.playerJoined","New player: {name}","","","{name}",""
"web-app","admin.activity.reportFiled","Report filed — {reason}","","","{reason}",""
"web-app","admin.activity.by","by {name}","","","{name}",""
"web-app","admin.venues.title","Venue queue","","","",""
"web-app","admin.venues.subtitle.one","1 awaiting review · newest first","","","",""
"web-app","admin.venues.subtitle.other","{count} awaiting review · newest first","","","{count}",""
"web-app","admin.venues.subtitleEmpty","0 awaiting review","","","",""
"web-app","admin.venues.emptyTitle","Nothing to review — nice.","","","",""
"web-app","admin.venues.emptySub","New venue submissions land here the moment a player adds one. You're all caught up.","","","",""
"web-app","admin.venues.loadError","Couldn't load the venue queue — try refresh.","","","",""
"web-app","admin.venue.pendingReview","Pending review","","","",""
"web-app","admin.venue.geocodedAddress","Geocoded address","","","",""
"web-app","admin.venue.submittedAs","Submitted as: {text}","","","{text}",""
"web-app","admin.venue.submittedBy","by {name}","","","{name}",""
"web-app","admin.venue.submittedAgo","Submitted {ago}","","","{ago}",""
"web-app","admin.venue.cuescore","Imported from CueScore","","","",""
"web-app","admin.venue.approve","Approve & publish","","","",""
"web-app","admin.venue.reject","Reject…","","","",""
"web-app","admin.venue.editName","Edit","","","",""
"web-app","admin.venue.editNameAria","Edit venue name","","","",""
"web-app","admin.venue.nameInputLabel","Venue name","","","",""
"web-app","admin.venue.saveName","Save","","","",""
"web-app","admin.venue.cancelEdit","Cancel","","","",""
"web-app","admin.venue.safety.residential","Looks residential","","","",""
"web-app","admin.venue.safety.residentialSub","This reads like a private home. A home table belongs on a profile (connections-only), not the public venue map.","","","",""
"web-app","admin.venue.safety.business","Reads as a business","","","",""
"web-app","admin.venue.safety.businessSub","This reads like a public venue. Approving publishes it to the map right away.","","","",""
"web-app","admin.venue.safety.neutral","No strong signal","","","",""
"web-app","admin.venue.safety.neutralSub","The place-class isn't conclusive — check the map and address before deciding.","","","",""
"web-app","admin.venue.viewOsm","View on OpenStreetMap","","","",""
"web-app","admin.venue.osmShort","OSM ↗","","","",""
"web-app","admin.venue.mapUnavailable","Map unavailable","","","",""
"web-app","admin.venue.websiteLabel","Website","","","",""
"web-app","admin.venue.openWebsite","Open ↗","","","",""
"web-app","admin.venue.websiteReviewNote","We haven't checked where this leads — including whether it promotes money games. Open it and judge for yourself before you approve.","","","",""
"web-app","admin.venue.websiteReviewNoteShort","We haven't checked where this leads — open it before you approve.","","","",""
"web-app","admin.venue.edit.websiteLabel","Website URL","","","",""
"web-app","admin.venue.edit.websiteHint","Paste the club's website or Facebook page, or leave blank to clear it.","","","",""
"web-app","admin.venue.completenessTitle","Completeness","","","",""
"web-app","admin.venue.completeness.address","Address","","","",""
"web-app","admin.venue.completeness.city","City","","","",""
"web-app","admin.venue.completeness.country","Country","","","",""
"web-app","admin.venue.completeness.logo","Logo","","","",""
"web-app","admin.venue.completeness.website","Website","","","",""
"web-app","admin.reject.title","Reason for rejection","","","",""
"web-app","admin.reject.dsa","shown to submitter · DSA Art. 17","","","",""
"web-app","admin.reject.sub","The submitter will see this on their submission. Keep it factual and kind.","","","",""
"web-app","admin.reject.placeholder","Explain why this can't go on the map…","","","",""
"web-app","admin.reject.chip.privateResidence","Private residence","","","",""
"web-app","admin.reject.chip.notAVenue","Not a public venue","","","",""
"web-app","admin.reject.chip.closedOrWrong","Closed / wrong details","","","",""
"web-app","admin.reject.chip.duplicate","Duplicate","","","",""
"web-app","admin.reject.chip.other","Other…","","","",""
"web-app","admin.reject.cancel","Cancel","","","",""
"web-app","admin.reject.send","Send rejection","","","",""
"web-app","admin.reject.prefill.privateResidence","This looks like a private home. 8nOut only maps public pool venues — you can add your home table on your profile instead, where it stays visible to your connections only.","","","",""
"web-app","admin.reject.prefill.notAVenue","This doesn't look like a public pool venue, so it can't go on the map.","","","",""
"web-app","admin.reject.prefill.closedOrWrong","These details look closed or incorrect, so this can't go on the map right now.","","","",""
"web-app","admin.reject.prefill.duplicate","This venue is already on the map, so this submission is a duplicate.","","","",""
"web-app","admin.reports.title","Reports","","","",""
"web-app","admin.reports.subtitle.one","1 open · oldest first","","","",""
"web-app","admin.reports.subtitle.other","{count} open · oldest first","","","{count}",""
"web-app","admin.reports.subtitleEmpty","0 open","","","",""
"web-app","admin.reports.emptyTitle","No open reports.","","","",""
"web-app","admin.reports.emptySub","The community's behaving. New reports show up here.","","","",""
"web-app","admin.reports.loadError","Couldn't load reports — try refresh.","","","",""
"web-app","admin.report.kind.venue","Venue","","","",""
"web-app","admin.report.kind.player","Player","","","",""
"web-app","admin.report.kind.photo","Photo","","","",""
"web-app","admin.report.kind.report","Report","","","",""
"web-app","admin.report.reportedBy","reported by {name} · {ago}","","","{ago}; {name}",""
"web-app","admin.report.liveOnMap","Live on map","","","",""
"web-app","admin.report.venuePending","Pending","","","",""
"web-app","admin.report.venueRejected","Already rejected","","","",""
"web-app","admin.report.photoBy","Photo by {name}","","","{name}",""
"web-app","admin.report.takedown","Take down venue…","","","",""
"web-app","admin.report.dismiss","Dismiss","","","",""
"web-app","admin.report.markActioned","Mark actioned","","","",""
"web-app","admin.report.actionedNote","Marks the report resolved. It does not delete the photo.","","","",""
"web-app","admin.report.noDetail","No note added.","","","",""
"web-app","admin.reason.harassment","Harassment","","","",""
"web-app","admin.reason.spam","Spam","","","",""
"web-app","admin.reason.inappropriatePhoto","Inappropriate photo","","","",""
"web-app","admin.reason.fakeProfile","Fake profile","","","",""
"web-app","admin.reason.privateResidence","Private residence","","","",""
"web-app","admin.reason.notAVenue","Not a public venue","","","",""
"web-app","admin.reason.closedOrWrong","Closed / wrong details","","","",""
"web-app","admin.reason.other","Other","","","",""
"web-app","admin.reason.moneyPlaySolicitation","Money-play solicitation","","","",""
"web-app","admin.report.kind.message","Message","","","",""
"web-app","admin.report.openWindow","Open message window…","","","",""
"web-app","admin.report.noBody","The message text is never shown here. Open the logged window to read it.","","","",""
"web-app","admin.report.target24","24h target","","","",""
"web-app","admin.report.target48","48h target","","","",""
"web-app","admin.report.overdue","Past target","","","",""
"web-app","admin.window.title","Message window","","","",""
"web-app","admin.window.readOnly","Read-only","","","",""
"web-app","admin.window.loggedNote","Opening this window is recorded — who, when, and which messages were returned — so message access stays accountable.","","","",""
"web-app","admin.window.bounds","Shows the reported message and up to 5 messages either side, within 24 hours of it — this conversation only.","","","",""
"web-app","admin.window.reported","Reported message","","","",""
"web-app","admin.window.deletedTag","Deleted by sender","","","",""
"web-app","admin.window.cardRow","Challenge card","","","",""
"web-app","admin.window.deletedMember","Deleted member","","","",""
"web-app","admin.window.closedReport","This report is decided. Re-open it to view the window — re-opening is recorded.","","","",""
"web-app","admin.window.purgedAnchor","This message no longer exists — the attempt was still logged.","","","",""
"web-app","admin.hold.place","Place hold…","","","",""
"web-app","admin.hold.reasonLabel","Reason (recorded)","","","",""
"web-app","admin.hold.confirm","Place hold","","","",""
"web-app","admin.hold.held","On hold","","","",""
"web-app","admin.hold.heldUntil","On hold · expires {date}","","","{date}",""
"web-app","admin.hold.extend","Extend as H2…","","","",""
"web-app","admin.hold.autoPlaced","H1 hold — automatic","","","",""
"web-app","admin.hold.release","Release hold…","","","",""
"web-app","admin.hold.releaseReasonLabel","Reason for release (recorded)","","","",""
"web-app","admin.hold.releaseConfirm","Release hold","","","",""
"web-app","admin.toast.holdPlaced","Hold placed","","","",""
"web-app","admin.toast.holdReleased","Hold released","","","",""
"web-app","admin.toast.published","Published to the map","","","",""
"web-app","admin.toast.rejected","Rejection sent","","","",""
"web-app","admin.toast.takendown","Taken down","","","",""
"web-app","admin.toast.dismissed","Report dismissed","","","",""
"web-app","admin.toast.actioned","Report marked actioned","","","",""
"web-app","admin.toast.error","Something went wrong — try again.","","","",""
"web-app","admin.time.justNow","just now","","","",""
"web-app","admin.time.minutesAgo","{count}m ago","","","{count}",""
"web-app","admin.time.hoursAgo","{count}h ago","","","{count}",""
"web-app","admin.time.daysAgo","{count}d ago","","","{count}",""
"web-app","admin.nav.members","Members","","","",""
"web-app","admin.roles.title","Members","","","",""
"web-app","admin.roles.subtitle","Search members and manage roles","","","",""
"web-app","admin.roles.searchPlaceholder","Search by name…","","","",""
"web-app","admin.roles.you","You","","","",""
"web-app","admin.roles.changeRoleFor","Change role for {name}","","","{name}",""
"web-app","admin.roles.role.owner","Owner","","","",""
"web-app","admin.roles.role.moderator_1","Moderator 1","","","",""
"web-app","admin.roles.role.moderator_2","Moderator 2","","","",""
"web-app","admin.roles.role.player","Player","","","",""
"web-app","admin.roles.save","Save","","","",""
"web-app","admin.roles.toast.saved","Role updated","","","",""
"web-app","admin.roles.err.lastOwner","You can't change the last owner — promote another owner first.","","","",""
"web-app","admin.roles.emptyTitle","No members found","","","",""
"web-app","admin.roles.emptySub","No one matches that search. Try a different name.","","","",""
"web-app","admin.nav.venuesManage","Venues","","","",""
"web-app","admin.venuesManage.title","All venues","","","",""
"web-app","admin.venuesManage.subtitle","Search, edit, merge and remove venues — every status","","","",""
"web-app","admin.venuesManage.searchPlaceholder","Search name, address or city…","","","",""
"web-app","admin.venuesManage.filter.all","All","","","",""
"web-app","admin.venuesManage.filter.pending","Pending","","","",""
"web-app","admin.venuesManage.filter.approved","Live","","","",""
"web-app","admin.venuesManage.filter.rejected","Rejected","","","",""
"web-app","admin.venuesManage.status.pending","Pending","","","",""
"web-app","admin.venuesManage.status.approved","Live","","","",""
"web-app","admin.venuesManage.status.rejected","Rejected","","","",""
"web-app","admin.venuesManage.showing.one","1 venue","","","",""
"web-app","admin.venuesManage.showing.other","{count} venues","","","{count}",""
"web-app","admin.venuesManage.loadMore","Load more","","","",""
"web-app","admin.venuesManage.emptyTitle","No venues here","","","",""
"web-app","admin.venuesManage.emptySub","Nothing matches that filter or search. Try a different one.","","","",""
"web-app","admin.venuesManage.loadError","Couldn't load venues — try refresh.","","","",""
"web-app","admin.venuesManage.view","View","","","",""
"web-app","admin.venuesManage.hide","Hide","","","",""
"web-app","admin.venuesManage.edit","Edit","","","",""
"web-app","admin.venuesManage.merge","Merge…","","","",""
"web-app","admin.venuesManage.remove","Remove…","","","",""
"web-app","admin.venuesManage.toast.saved","Venue updated","","","",""
"web-app","admin.venuesManage.toast.removed","Venue removed","","","",""
"web-app","admin.venuesManage.toast.merged","Venues merged","","","",""
"web-app","admin.venue.sourcedCuescore","Sourced from CueScore","","","",""
"web-app","admin.venue.cuescoreLinked","CueScore","","","",""
"web-app","admin.venue.clubCount.one","1 club","","","",""
"web-app","admin.venue.clubCount.other","{count} clubs","","","{count}",""
"web-app","admin.venue.edit.title","Edit venue","","","",""
"web-app","admin.venue.edit.nameLabel","Name","","","",""
"web-app","admin.venue.edit.logoLabel","Logo URL","","","",""
"web-app","admin.venue.edit.logoPlaceholder","https://…","","","",""
"web-app","admin.venue.edit.logoHint","Paste an image URL, or leave blank for no logo.","","","",""
"web-app","admin.venue.edit.save","Save","","","",""
"web-app","admin.venue.edit.cancel","Cancel","","","",""
"web-app","admin.venue.merge.title","Merge into another venue","","","",""
"web-app","admin.venue.merge.intro","Pick the canonical venue to fold “{name}” into. Its clubs move over and “{name}” is retired.","","","{name}",""
"web-app","admin.venue.merge.searchPlaceholder","Search live venues…","","","",""
"web-app","admin.venue.merge.noTarget","No live venues match — try another search.","","","",""
"web-app","admin.venue.merge.confirmSub","Every club on “{from}” moves to “{into}”, and “{from}” becomes rejected. This can't be undone.","","","{from}; {into}",""
"web-app","admin.venue.merge.button","Merge venues","","","",""
"web-app","admin.venue.merge.back","Back","","","",""
"web-app","admin.venue.merge.cancel","Cancel","","","",""
"web-app","admin.cuescore.addButton","Add via CueScore","","","",""
"web-app","admin.cuescore.title","Add a venue from CueScore","","","",""
"web-app","admin.cuescore.intro","Paste a CueScore venue link. We read it once and prefill a submission for you to review — it still goes through moderation.","","","",""
"web-app","admin.cuescore.urlPlaceholder","https://cuescore.com/venue/…","","","",""
"web-app","admin.cuescore.urlLabel","CueScore venue link","","","",""
"web-app","admin.cuescore.lookup","Look up","","","",""
"web-app","admin.cuescore.looking","Reading…","","","",""
"web-app","admin.cuescore.close","Close","","","",""
"web-app","admin.cuescore.back","Back","","","",""
"web-app","admin.cuescore.matched","Already on 8nOut","","","",""
"web-app","admin.cuescore.lookAnother","Look up another","","","",""
"web-app","admin.cuescore.findIt","Find it","","","",""
"web-app","admin.cuescore.nameLabel","Name","","","",""
"web-app","admin.cuescore.addressLabel","Address","","","",""
"web-app","admin.cuescore.addressHint","This becomes the club's map pin, so keep it complete and accurate.","","","",""
"web-app","admin.cuescore.add","Add for review","","","",""
"web-app","admin.cuescore.adding","Adding…","","","",""
"web-app","admin.cuescore.addAnyway","Add anyway","","","",""
"web-app","admin.cuescore.candidatesTitle","Similar venues are already on the map:","","","",""
"web-app","admin.cuescore.switchOn","CueScore reads: On","","","",""
"web-app","admin.cuescore.switchOff","CueScore reads: Off","","","",""
"web-app","admin.cuescore.switchHint","Turn all CueScore reads (venue add + match import) on or off","","","",""
"web-app","admin.cuescore.toast.on","CueScore reads enabled","","","",""
"web-app","admin.cuescore.toast.off","CueScore reads disabled","","","",""
"web-app","admin.cuescore.toast.added","Sent for review","","","",""
"web-app","admin.cuescore.err.disabled","CueScore reads are turned off right now.","","","",""
"web-app","admin.cuescore.err.rate_limited","Too many CueScore reads just now — try again later.","","","",""
"web-app","admin.cuescore.err.bad_url","No venue id in that link. Use the venue page URL — cuescore.com/venue/Club+Name/60451687 — or paste the numeric venue id on its own.","","","",""
"web-app","admin.cuescore.err.unreachable","Couldn't reach CueScore right now — try again shortly.","","","",""
"web-app","admin.cuescore.err.forbidden","You don't have permission to do that.","","","",""
"web-app","admin.cuescore.err.geocode","That address didn't match the map. Edit it above, then add again.","","","",""
"web-app","admin.cuescore.err.geocoder_unavailable","The address lookup is unavailable right now. Try again shortly.","","","",""
"web-app","suspended.title","Account suspended","Konto suspendert","","",""
"web-app","suspended.body","Your 8nOut account has been suspended for a violation of our Terms of Service.","8nOut-kontoen din er suspendert på grunn av et brudd på Vilkårene for bruk.","","",""
"web-app","suspended.redress","If you believe this was a mistake, you can contact us at privacy@8nout.com to ask us to review it. If you disagree with our decision, you also have the right to take the matter to court. More on this is in our Terms of Service (section 13).","Hvis du mener dette var en feil, kan du kontakte oss på privacy@8nout.com for å be oss vurdere det på nytt. Hvis du er uenig i avgjørelsen vår, har du også rett til å bringe saken inn for domstolene. Mer om dette finner du i Vilkårene for bruk (seksjon 13).","","",""
"web-app","removed.title","Account removed","Konto fjernet","","",""
"web-app","removed.body","Your 8nOut account has been removed for a violation of our Terms of Service.","8nOut-kontoen din er fjernet på grunn av et brudd på Vilkårene for bruk.","","",""
"web-app","removed.redress","If you believe this decision was wrong, you can contact us at privacy@8nout.com. Because the account and its data have been deleted we cannot restore them, but you can still contest this decision, including before a court. More on this is in our Terms of Service (section 13).","Hvis du mener denne avgjørelsen var feil, kan du kontakte oss på privacy@8nout.com. Fordi kontoen og dataene dens er slettet, kan vi ikke gjenopprette dem, men du kan fortsatt bestride denne avgjørelsen, også for en domstol. Mer om dette finner du i Vilkårene for bruk (seksjon 13).","","",""
"web-app","moderation.reasonLine","Reason: {reason}","Grunn: {reason}","","{reason}",""
"web-app","moderation.reason.harassment","Harassment or abuse","Trakassering eller misbruk","","",""
"web-app","moderation.reason.spam","Spam","Spam","","",""
"web-app","moderation.reason.fakeProfile","Fake profile","Falsk profil","","",""
"web-app","moderation.reason.inappropriateContent","Inappropriate content","Upassende innhold","","",""
"web-app","moderation.reason.safetyThreat","Threats or safety concern","Trusler eller sikkerhetsbekymring","","",""
"web-app","moderation.reason.termsViolation","Terms of Service violation","Brudd på Vilkårene for bruk","","",""
"web-app","moderation.reason.other","Other","Annet","","",""
"web-app","admin.nav.lookup","Member lookup","","","",""
"web-app","admin.report.removeMember","Remove member…","","","",""
"web-app","admin.lookup.title","Member lookup","","","",""
"web-app","admin.lookup.subtitle","Find a member to review or remove","","","",""
"web-app","admin.lookup.searchPlaceholder","Search by name or paste a member id…","","","",""
"web-app","admin.lookup.startTitle","Search for a member","","","",""
"web-app","admin.lookup.startSub","Type a name or paste a member id to look them up.","","","",""
"web-app","admin.lookup.openReports","{count} open reports","","","{count}",""
"web-app","admin.lookup.manage","Manage…","","","",""
"web-app","admin.detail.viewButton","View detail","","","",""
"web-app","admin.detail.close","Close","","","",""
"web-app","admin.detail.cancel","Cancel","","","",""
"web-app","admin.detail.open","Open detail","","","",""
"web-app","admin.detail.done","Done","","","",""
"web-app","admin.detail.reasonLead","Opening this member's details is recorded — who, when, and why — so moderator access stays accountable. Give a short reason or link an open report.","","","",""
"web-app","admin.detail.reasonLabel","Reason for viewing","","","",""
"web-app","admin.detail.reasonPlaceholder","e.g. reviewing a harassment report…","","","",""
"web-app","admin.detail.linkReportLabel","Link an open report (optional)","","","",""
"web-app","admin.detail.noReport","No linked report","","","",""
"web-app","admin.detail.suspendedBanner","This member is suspended. Contact, precise address, photos and bio were purged on suspension.","","","",""
"web-app","admin.detail.removedOnSuspension","Removed on suspension.","","","",""
"web-app","admin.detail.sec.completeness","Completeness","","","",""
"web-app","admin.detail.sec.identity","Identity","","","",""
"web-app","admin.detail.sec.bio","Bio","","","",""
"web-app","admin.detail.sec.rating","Rating & CueScore","","","",""
"web-app","admin.detail.sec.photos","Photos","","","",""
"web-app","admin.detail.sec.clubs","Clubs","","","",""
"web-app","admin.detail.sec.record","Record","","","",""
"web-app","admin.detail.sec.modActions","Moderation history","","","",""
"web-app","admin.detail.sec.reportsAbout","Reports about this member","","","",""
"web-app","admin.detail.sec.reportsFiled","Reports this member filed","","","",""
"web-app","admin.detail.completeness.name","Name","","","",""
"web-app","admin.detail.completeness.city","City","","","",""
"web-app","admin.detail.completeness.club","Club","","","",""
"web-app","admin.detail.completeness.cuescore","CueScore","","","",""
"web-app","admin.completeness.summary","{filled} of {total} filled in","","","{filled}; {total}",""
"web-app","admin.completeness.filled","Filled in","","","",""
"web-app","admin.completeness.open","Open","","","",""
"web-app","admin.completeness.clubBreakdown","{approved} approved · {pending} pending · {rejected} rejected","","","{approved}; {pending}; {rejected}",""
"web-app","admin.detail.memberSince","Member since","","","",""
"web-app","admin.detail.home","Home","","","",""
"web-app","admin.detail.noBio","No bio.","","","",""
"web-app","admin.detail.fargo","Fargo rating","","","",""
"web-app","admin.detail.notSet","Not set","","","",""
"web-app","admin.detail.cuescore","CueScore","","","",""
"web-app","admin.detail.cuescoreOpen","Open profile #{id}","","","{id}",""
"web-app","admin.detail.notLinked","Not linked","","","",""
"web-app","admin.detail.noPhotos","No photos.","","","",""
"web-app","admin.detail.unnamedClub","Unnamed club","","","",""
"web-app","admin.detail.noClubs","No clubs listed.","","","",""
"web-app","admin.detail.wins"," wins","","","",""
"web-app","admin.detail.losses"," losses","","","",""
"web-app","admin.detail.connections"," connections","","","",""
"web-app","admin.detail.lastPlayed","Last played {when}","","","{when}",""
"web-app","admin.detail.noGames","No recorded games.","","","",""
"web-app","admin.detail.noModActions","No moderation actions on file.","","","",""
"web-app","admin.detail.noReportsAbout","No reports about this member.","","","",""
"web-app","admin.detail.noReportsFiled","This member hasn't filed any reports.","","","",""
"web-app","admin.remove.close","Close","","","",""
"web-app","admin.remove.loading","Loading member…","","","",""
"web-app","admin.remove.notFound","Member not found.","","","",""
"web-app","admin.remove.cantAct","You can only remove a member below your role.","","","",""
"web-app","admin.remove.status.active","Active","","","",""
"web-app","admin.remove.status.suspended","Suspended","","","",""
"web-app","admin.remove.reasonLabel","Reason category","","","",""
"web-app","admin.remove.cat.harassment","Harassment or abuse","","","",""
"web-app","admin.remove.cat.spam","Spam","","","",""
"web-app","admin.remove.cat.fakeProfile","Fake or impersonating profile","","","",""
"web-app","admin.remove.cat.inappropriateContent","Inappropriate content","","","",""
"web-app","admin.remove.cat.safetyThreat","Safety threat","","","",""
"web-app","admin.remove.cat.termsViolation","Terms of Service violation","","","",""
"web-app","admin.remove.cat.other","Something else","","","",""
"web-app","admin.remove.detailLabel","Internal note (optional)","","","",""
"web-app","admin.remove.detailPlaceholder","Context for the record — not shown to the member…","","","",""
"web-app","admin.remove.withhold","Withhold the reason from the member (act first)","","","",""
"web-app","admin.remove.evidenceLabel","Evidence (reports on file)","","","",""
"web-app","admin.remove.noEvidence","No reports on file for this member.","","","",""
"web-app","admin.remove.suspendHint","Reversible. Purges the home address, contact, photos and bio; keeps the audit trail.","","","",""
"web-app","admin.remove.suspend","Suspend member","","","",""
"web-app","admin.remove.reinstateHint","This member is suspended. Reinstating clears it — but purged data is not restored.","","","",""
"web-app","admin.remove.reinstate","Reinstate member","","","",""
"web-app","admin.remove.deleteHint","Irreversible. Erases the account; keeps de-identified match & report evidence.","","","",""
"web-app","admin.remove.eraseDisabled","Permanent erase is disabled for now. Use Suspend above.","","","",""
"web-app","admin.remove.tombstone","Block re-registration (abuse only)","","","",""
"web-app","admin.remove.confirmLabel","Type {name} to confirm deletion","","","{name}",""
"web-app","admin.remove.delete","Permanently delete","","","",""
"web-app","admin.remove.cancel","Cancel","","","",""
"web-app","admin.remove.manageShort","Remove…","","","",""
"web-app","admin.remove.toast.suspended","Member suspended","","","",""
"web-app","admin.remove.toast.reinstated","Member reinstated","","","",""
"web-app","admin.remove.toast.deleted","Member removed","","","",""
"web-app","admin.remove.err.lastOwner","You can't remove the last owner — promote another owner first.","","","",""
"web-app","admin.remove.err.forbidden","You don't have permission to remove this member.","","","",""
"web-app","admin.nav.blog","Blog","","","",""
"web-app","admin.blog.title","Blog","","","",""
"web-app","admin.blog.subtitle","Draft, review and publish moderator stories","","","",""
"web-app","admin.blog.loadError","Couldn't load posts — try refresh.","","","",""
"web-app","admin.blog.helpAria","About authorship & review","","","",""
"web-app","admin.blog.help.title","Who can see this","","","",""
"web-app","admin.blog.help.body","Every draft, edit and review action is recorded — who wrote the post, who reviewed it, and when. Other moderators can see this record. Members and the public never do.","","","",""
"web-app","admin.blog.help.close","Close","","","",""
"web-app","admin.blog.status.draft","Draft","","","",""
"web-app","admin.blog.status.pendingReview","Pending review","","","",""
"web-app","admin.blog.status.published","Published","","","",""
"web-app","admin.blog.status.rejected","Rejected","","","",""
"web-app","admin.blog.status.archived","Archived","","","",""
"web-app","admin.blog.filter.myDrafts","My drafts","","","",""
"web-app","admin.blog.filter.pendingReview","Pending review","","","",""
"web-app","admin.blog.filter.published","Published","","","",""
"web-app","admin.blog.filter.archived","Archived","","","",""
"web-app","admin.blog.empty.drafts.title","No drafts yet","","","",""
"web-app","admin.blog.empty.drafts.sub","Start a new post and it lands here.","","","",""
"web-app","admin.blog.empty.pendingReview.title","Nothing waiting for review","","","",""
"web-app","admin.blog.empty.pendingReview.sub","Submitted drafts show up here for a second moderator to check.","","","",""
"web-app","admin.blog.empty.published.title","Nothing published yet","","","",""
"web-app","admin.blog.empty.published.sub","Published posts appear here, newest first.","","","",""
"web-app","admin.blog.empty.archived.title","Nothing archived","","","",""
"web-app","admin.blog.empty.archived.sub","Posts you take down move here.","","","",""
"web-app","admin.blog.action.new","New post","","","",""
"web-app","admin.blog.action.saveDraft","Save draft","","","",""
"web-app","admin.blog.action.submitForReview","Submit for review","","","",""
"web-app","admin.blog.action.approveAndPublish","Approve & publish","","","",""
"web-app","admin.blog.action.reject","Reject…","","","",""
"web-app","admin.blog.action.reopenDraft","Reopen draft","","","",""
"web-app","admin.blog.action.archive","Archive","","","",""
"web-app","admin.blog.action.hardDelete","Delete permanently","","","",""
"web-app","admin.blog.archiveHint","Reversible. Takes the post off the public blog immediately; reopen it as a draft any time.","","","",""
"web-app","admin.blog.hardDeleteHint","Irreversible. Erases the post and its full revision history.","","","",""
"web-app","admin.blog.hardDeleteConfirmLabel","Type “{title}” to confirm deletion","","","{title}",""
"web-app","admin.blog.compliance.check","Check for issues","","","",""
"web-app","admin.blog.compliance.checking","Checking…","","","",""
"web-app","admin.blog.compliance.cleanTitle","No issues found","","","",""
"web-app","admin.blog.compliance.cleanSub","Nothing flagged — this post is clear.","","","",""
"web-app","admin.blog.compliance.flaggedTitle","Wording needs review","","","",""
"web-app","admin.blog.compliance.flaggedSub","This post contains wording that needs review. Check the list below, then edit before you submit or publish.","","","",""
"web-app","admin.blog.compliance.flaggedListLabel","Flagged:","","","",""
"web-app","admin.blog.compliance.hint","Runs automatically before you submit or publish — use this button to check anytime while you're writing.","","","",""
"web-app","admin.blog.compliance.errorTitle","Couldn't check","","","",""
"web-app","admin.blog.compliance.errorSub","The compliance check didn't run — try again before approving.","","","",""
"web-app","admin.blog.compliance.retry","Try again","","","",""
"web-app","admin.blog.reject.title","Reason for rejection","","","",""
"web-app","admin.blog.reject.sub","The author sees this note when they reopen the draft. Keep it factual and useful.","","","",""
"web-app","admin.blog.reject.placeholder","Explain what needs to change before this can be approved…","","","",""
"web-app","admin.blog.reject.cancel","Cancel","","","",""
"web-app","admin.blog.reject.send","Send rejection","","","",""
"web-app","admin.blog.rejectedNotice","This draft was rejected. See the reviewer's note below, make your changes, then resubmit.","","","",""
"web-app","admin.blog.rejectedReasonLabel","Reviewer's note","","","",""
"web-app","admin.blog.selfReview.notice","You can't approve or publish your own post — ask another moderator to review it.","","","",""
"web-app","admin.blog.err.notFound","Couldn't find this post — it may have been deleted or moved. Refresh the list and try again.","","","",""
"web-app","admin.blog.err.invalidTransition","This action isn't available for the post's current status — refresh the list to see where it stands.","","","",""
"web-app","admin.blog.err.selfReview","You can't review your own post — ask another moderator to approve, publish, or reject it.","","","",""
"web-app","admin.blog.err.notModerator","You don't have permission to do that.","","","",""
"web-app","admin.blog.err.badSlug","That URL isn't available — use lowercase letters, numbers and hyphens only.","","","",""
"web-app","admin.blog.err.incomplete","Add a title and some body text before you submit this for review.","","","",""
"web-app","admin.blog.err.flagged","This post contains wording that needs review — run the compliance check to see what to fix.","","","",""
"web-app","admin.blog.err.notOwner","Only an owner can delete a post permanently.","","","",""
"web-app","admin.blog.err.failed","Couldn't do that right now. Try again.","","","",""
"web-app","admin.blog.toast.draftSaved","Draft saved","","","",""
"web-app","admin.blog.toast.submitted","Sent for review","","","",""
"web-app","admin.blog.toast.published","Published","","","",""
"web-app","admin.blog.toast.rejected","Rejection sent","","","",""
"web-app","admin.blog.toast.reopened","Draft reopened","","","",""
"web-app","admin.blog.toast.archived","Archived","","","",""
"web-app","admin.blog.toast.deleted","Post deleted","","","",""
"web-app","admin.blog.editor.field.title","Title","","","",""
"web-app","admin.blog.editor.field.summary","Summary","","","",""
